,match_id,season,date,home_id,away_id,home_goals,away_goals
0,499317,2008/2009,2008-08-15,9823,9790,2,2
1,499318,2008/2009,2008-08-16,8178,9789,2,3
2,499319,2008/2009,2008-08-16,10189,9904,3,0
3,499320,2008/2009,2008-08-16,8721,8722,2,1
4,499321,2008/2009,2008-08-17,9810,8177,0,2
5,499322,2008/2009,2008-08-16,9912,8697,2,2
6,499323,2008/2009,2008-08-16,8398,8226,0,3
7,499324,2008/2009,2008-08-17,9788,10269,1,3
8,499325,2008/2009,2008-08-16,8295,9911,1,0
9,499398,2008/2009,2008-10-29,9790,10269,2,0
10,499399,2008/2009,2008-10-28,8697,8178,0,2
11,499400,2008/2009,2008-10-29,8177,9904,3,0
12,499401,2008/2009,2008-10-28,8721,9788,3,0
13,499402,2008/2009,2008-10-29,9810,9823,1,2
14,499403,2008/2009,2008-10-28,9912,8398,1,1
15,499404,2008/2009,2008-10-29,8722,9789,0,1
16,499405,2008/2009,2008-10-29,9911,8226,1,3
17,499406,2008/2009,2008-10-28,8295,10189,0,3
18,499407,2008/2009,2008-11-01,9823,9912,3,1
19,499408,2008/2009,2008-10-31,8178,8721,2,0
20,499409,2008/2009,2008-11-02,9789,9911,1,1
21,499410,2008/2009,2008-11-01,10269,8722,1,3
22,499411,2008/2009,2008-11-01,8697,8177,5,1
23,499412,2008/2009,2008-11-01,8398,10189,0,2
24,499413,2008/2009,2008-11-01,9904,9790,3,0
25,499414,2008/2009,2008-11-02,9788,9810,1,2
26,499415,2008/2009,2008-11-01,8226,8295,4,1
27,499416,2008/2009,2008-11-08,9790,9789,2,1
28,499417,2008/2009,2008-11-09,8177,8226,1,0
29,499418,2008/2009,2008-11-09,10189,9823,1,2
30,499419,2008/2009,2008-11-08,8721,8398,3,0
31,499420,2008/2009,2008-11-09,9810,10269,2,2
32,499421,2008/2009,2008-11-08,9912,9788,0,2
33,499422,2008/2009,2008-11-07,8722,9904,2,1
34,499423,2008/2009,2008-11-08,9911,8697,0,0
35,499424,2008/2009,2008-11-08,8295,8178,3,3
36,499425,2008/2009,2008-11-15,8178,10189,2,1
37,499426,2008/2009,2008-11-15,9789,9810,4,0
38,499427,2008/2009,2008-11-15,10269,9912,0,0
39,499428,2008/2009,2008-11-16,8697,8722,3,1
40,499429,2008/2009,2008-11-15,8177,9790,2,1
41,499430,2008/2009,2008-11-15,8398,8295,1,0
42,499431,2008/2009,2008-11-14,9904,9911,1,1
43,499432,2008/2009,2008-11-15,9788,9823,2,2
44,499433,2008/2009,2008-11-15,8226,8721,3,2
45,499434,2008/2009,2008-11-22,9823,8398,4,1
46,499435,2008/2009,2008-11-23,9790,8697,2,1
47,499436,2008/2009,2008-11-22,10189,9788,3,1
48,499437,2008/2009,2008-11-22,8721,10269,4,1
49,499438,2008/2009,2008-11-22,9810,9904,4,0
50,499439,2008/2009,2008-11-22,9912,8178,2,1
51,499440,2008/2009,2008-11-22,8722,8226,1,3
52,499441,2008/2009,2008-11-22,9911,8177,2,3
53,499442,2008/2009,2008-11-21,8295,9789,0,1
54,499443,2008/2009,2008-11-29,8178,9823,0,2
55,499444,2008/2009,2008-11-30,9789,8721,0,0
56,499445,2008/2009,2008-11-30,10269,10189,2,0
57,499446,2008/2009,2008-11-29,8697,9810,5,0
58,499447,2008/2009,2008-11-28,8177,8722,2,1
59,499448,2008/2009,2008-11-30,9911,9790,1,1
60,499449,2008/2009,2008-11-29,9904,8295,3,2
61,499450,2008/2009,2008-11-29,9788,8398,1,3
62,499451,2008/2009,2008-11-29,8226,9912,3,0
63,499452,2008/2009,2008-12-05,9823,8226,2,1
64,499453,2008/2009,2008-12-06,10189,8177,1,0
65,499454,2008/2009,2008-12-07,8721,9904,2,1
66,499455,2008/2009,2008-12-06,9810,9911,4,0
67,499456,2008/2009,2008-12-06,9912,9789,0,0
68,499457,2008/2009,2008-12-07,8722,9790,1,2
69,499458,2008/2009,2008-12-06,8398,10269,0,3
70,499459,2008/2009,2008-12-06,9788,8178,1,3
71,499460,2008/2009,2008-12-06,8295,8697,1,0
