,team_id,season,points,goals,goals_against,perfect_games,money_spent
0,9823,2008/2009,100,71,42,9,0.0
1,9823,2009/2010,102,72,31,8,75700000.0
2,9823,2010/2011,102,81,40,9,17000000.0
3,9823,2011/2012,99,77,22,18,52100000.0
4,9823,2012/2013,102,98,18,21,70300000.0
5,9823,2013/2014,102,94,23,17,62000000.0
6,9823,2014/2015,102,80,18,22,53400000.0
7,9823,2015/2016,102,80,17,20,90750000.0
8,9790,2008/2009,102,49,47,7,34450000.0
9,9790,2009/2010,99,56,41,9,30450000.0
10,9790,2010/2011,102,46,52,8,15200000.0
11,9790,2011/2012,100,35,57,7,13900000.0
12,9790,2012/2013,96,42,53,8,27000000.0
13,9790,2013/2014,99,51,75,4,2350000.0
14,9790,2014/2015,102,25,50,10,35800000.0
15,9790,2015/2016,99,40,46,9,21850000.0
16,8178,2008/2009,99,59,46,8,10250000.0
17,8178,2009/2010,100,65,38,12,6550000.0
18,8178,2010/2011,102,64,44,11,5700000.0
19,8178,2011/2012,97,52,44,11,20310000.0
20,8178,2012/2013,102,65,39,11,20900000.0
21,8178,2013/2014,102,60,41,7,24980000.0
22,8178,2014/2015,100,62,37,16,37810000.0
23,8178,2015/2016,102,56,40,13,58000000.0
24,9789,2008/2009,100,60,37,14,13750000.0
25,9789,2009/2010,102,54,42,11,10900000.0
26,9789,2010/2011,99,67,22,14,5250000.0
27,9789,2011/2012,102,80,25,15,9730000.0
28,9789,2012/2013,102,81,42,8,26650000.0
29,9789,2013/2014,102,80,38,11,52600000.0
30,9789,2014/2015,99,47,42,10,65200000.0
31,9789,2015/2016,102,82,34,13,20000000.0
32,10189,2008/2009,102,47,35,14,15750000.0
33,10189,2009/2010,100,53,31,15,8500000.0
34,10189,2010/2011,99,38,44,11,36100000.0
35,10189,2011/2012,102,74,44,8,7300000.0
36,10189,2012/2013,102,58,50,8,6500000.0
37,10189,2013/2014,100,63,43,14,26050000.0
38,10189,2014/2015,102,42,40,10,4400000.0
39,10189,2015/2016,97,51,49,8,37100000.0
40,9904,2008/2009,102,49,69,7,6400000.0
41,9904,2009/2010,100,43,67,7,2049999.9999999998
42,9904,2010/2011,99,49,45,10,1000000.0
43,9904,2011/2012,102,41,45,7,4200000.0
44,9904,2012/2013,100,60,62,8,9550000.0
45,9904,2013/2014,99,46,59,6,10500000.0
46,9904,2014/2015,102,40,56,7,10800000.0
47,9904,2015/2016,96,31,62,5,18400000.0
48,8721,2008/2009,102,80,41,11,33100000.0
49,8721,2009/2010,102,64,58,7,27300000.0
50,8721,2010/2011,102,43,48,6,56150000.0
51,8721,2011/2012,99,47,60,7,48800000.0
52,8721,2012/2013,102,47,52,5,27100000.0
53,8721,2013/2014,102,63,50,5,50600000.0
54,8721,2014/2015,102,72,38,8,45050000.0
55,8721,2015/2016,102,47,49,9,68100000.0
56,8722,2008/2009,97,35,50,7,7150000.0
57,8722,2009/2010,94,33,42,13,11500000.0
58,8722,2010/2011,97,47,62,10,4600000.0
59,8722,2011/2012,99,39,75,6,5880000.0
60,0,0,0,0,0,0,0.0
61,0,0,0,0,0,0,0.0
62,8722,2014/2015,92,34,40,13,8400000.0
63,8722,2015/2016,93,38,42,8,14780000.0
64,9810,2008/2009,96,39,60,4,6650000.0
65,9810,2009/2010,102,47,54,5,1250000.0
66,9810,2010/2011,99,31,49,8,2450000.0
67,0,0,0,0,0,0,0.0
68,9810,2012/2013,102,49,46,8,8150000.0
69,9810,2013/2014,99,40,57,9,7480000.0
70,9810,2014/2015,99,56,62,6,6500000.0
71,9810,2015/2016,95,34,52,8,11820000.0
72,8177,2008/2009,102,48,41,10,6400000.0
73,8177,2009/2010,97,34,56,8,4510000.0
74,0,0,0,0,0,0,0.0
75,8177,2011/2012,94,38,64,5,1400000.0
76,0,0,0,0,0,0,0.0
77,8177,2013/2014,102,40,48,8,1300000.0
